id,scrape_id,last_scraped,source,name,host_id,host_profile_id,host_name,hosts time as user,hosts time as host,host_listings_count,host_identity_verified,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,total stay days,total price,minimum_nights,maximum_nights,calendar_last_scraped,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1.09E+18,2.03E+13,4/15/2026,previous scrape,Journey In NY | Museums. Fitness Center,562093838,1.47E+18,Hilton Garden Inn Central Park South NYC,"2,2","2,1",5,t,Manhattan,40.76418159,-73.98390154,Room in hotel,Private room,2,1.5,1 private bath,1,1,597,1,597,1,365,4/15/2026,0,,,,,,,,,,5,0,1.17
1.09E+18,2.03E+13,4/15/2026,previous scrape,Perfectly Located Modern & Comfortable 2 Bedroom,443442157,1.47E+18,Maya,"4,2","2,2",4,t,Manhattan,40.76213251,-73.99422192,Entire rental unit,Entire home/apt,4,1.5,1 bath,2,1,221.27,30,6638.1,30,365,4/15/2026,6,5/4/2024,12/7/2025,4.5,4.5,3.83,4.83,5,4.67,4.67,0,0,0.25
1.09E+18,2.03E+13,4/15/2026,previous scrape,Spacious 3 Bedroom Apartment in Hudson Yards,443442157,1.47E+18,Maya,"4,2","2,2",4,t,Manhattan,40.75596516,-73.99705754,Entire rental unit,Entire home/apt,6,1.5,1 bath,3,1,220.13,30,6603.9,30,365,4/15/2026,0,,,,,,,,,,0,0,1.17
1.09E+18,2.03E+13,4/15/2026,previous scrape,Room in the Bronx,562572010,1.47E+18,Regino,"2,1","2,1",2,t,Bronx,40.8487581,-73.905453,Private room in home,Private room,1,1.5,1 private bath,1,1,139.2,30,4176,30,365,4/15/2026,0,,,,,,,,,,2,0,1.17
1.08E+18,2.03E+13,4/15/2026,previous scrape,Short trip to the Barclays!,503700137,1.47E+18,Beverly,"3,1","2,8",1,t,Brooklyn,40.6315692,-73.8998727,Entire home,Entire home/apt,6,1.5,1.5 baths,3,1,113.05,30,3391.5,30,365,4/15/2026,6,3/27/2024,3/16/2026,4.83,4.83,4.5,5,4.83,4.83,4.83,0,0,0.24
1.08E+18,2.03E+13,4/15/2026,previous scrape,Cute Quiet Renovated UWS Studio W/ Elevator #618,35491667,1.47E+18,LEAP NY Apartments,"10,10","3,9",220,t,Manhattan,40.79323,-73.97416,Entire rental unit,Entire home/apt,2,1.5,1 bath,1,1,83.37,30,2501.1,30,175,4/15/2026,14,3/20/2024,4/4/2026,5,5,4.86,5,4.93,4.93,4.71,0,0,0.55
1.08E+18,2.03E+13,4/15/2026,city scrape,Park Ave Prime Location + Rooftop,559062074,1.47E+18,Lusi,"2,2","2,2",1,t,Manhattan,40.75065172,-73.97979487,Entire rental unit,Entire home/apt,4,2,2 baths,2,2,570.59,1,570.59,1,365,4/15/2026,47,2/10/2025,3/27/2026,4.87,4.94,4.87,4.81,4.85,4.98,4.74,0,0,3.28
1.08E+18,2.03E+13,4/15/2026,previous scrape,Peaceful Bushwick 2BR (Steps from 3 Subway Lines!),545778238,1.47E+18,Matan,"2,5","2,5",1,t,Brooklyn,40.69934268,-73.92590014,Entire rental unit,Entire home/apt,4,1.5,1 bath,2,1,169.43,30,5082.9,30,365,4/15/2026,3,5/11/2024,12/7/2024,4.67,4.33,5,5,5,4.67,4.33,0,0,0.13
1.09E+18,2.03E+13,4/15/2026,previous scrape,Room 2 in the Bronx,562572010,1.47E+18,Regino,"2,1","2,1",2,t,Bronx,40.84843902,-73.90417224,Private room in home,Private room,1,1.5,1 private bath,1,1,111.57,30,3347.1,30,365,4/15/2026,0,,,,,,,,,,2,0,1.17
1.09E+18,2.03E+13,4/14/2026,city scrape,"Spacious duplex in BK, 20 min from city",561256814,1.47E+18,Zardaman,"2,2","2,1",1,t,Brooklyn,40.69109,-73.90296,Entire home,Entire home/apt,10,3,3 baths,4,4,737,1,737,1,365,4/14/2026,103,5/18/2024,4/13/2026,4.8,4.75,4.74,4.95,4.93,4.82,4.75,0,0,4.43
1.09E+18,2.03E+13,4/15/2026,previous scrape,Max Living 2,488875309,1.47E+18,Asia,"3,4","3,4",3,t,Brooklyn,40.68142,-73.9403,Entire rental unit,Entire home/apt,4,1.5,1 bath,1,1,137.17,30,4115.1,30,365,4/15/2026,0,,,,,,,,,,2,0,1.17
1.09E+18,2.03E+13,4/15/2026,previous scrape,Shared Bathroom Tiny Sunny Chelsea Studio #318,35491667,1.47E+18,LEAP NY Apartments,"10,10","3,9",220,t,Manhattan,40.74961517,-73.99684989,Entire rental unit,Entire home/apt,1,1.5,1 bath,1,1,61.07,30,1832.1,30,175,4/15/2026,12,3/31/2024,1/25/2026,5,4.75,4.75,4.92,4.92,5,4.58,0,0,0.48
1.09E+18,2.03E+13,4/14/2026,city scrape,Deluxe King at The Lucerne Hotel!,501999278,1.47E+18,RoomPicks,"3,1","3,0",2551,t,Manhattan,40.78347,-73.97849,Room in boutique hotel,Hotel room,2,1,1 private bath,1,0,296,1,296,1,1125,4/14/2026,2,7/20/2025,7/21/2025,5,5,5,5,5,5,5,13,0,0.22
1.09E+18,2.03E+13,4/15/2026,previous scrape,Cozy and Clean Room in New York City!,501999278,1.47E+18,RoomPicks,"3,1","3,0",2551,t,Manhattan,40.78347,-73.97849,Room in boutique hotel,Hotel room,2,1.5,1 private bath,1,1,428,1,428,1,1125,4/15/2026,0,,,,,,,,,,13,0,1.17
1.09E+18,2.03E+13,4/15/2026,previous scrape,Deluxe 2 Double Beds at The Lucerne Hotel!,501999278,1.47E+18,RoomPicks,"3,1","3,0",2551,t,Manhattan,40.78347,-73.97849,Room in boutique hotel,Hotel room,4,1.5,1 private bath,1,1,274,1,274,1,1125,4/15/2026,3,2/23/2025,10/29/2025,4.67,4,5,5,5,5,4.33,13,0,0.22
1.09E+18,2.03E+13,4/15/2026,previous scrape,Spacious Deluxe Room Near Central Park!,501999278,1.47E+18,RoomPicks,"3,1","3,0",2551,t,Manhattan,40.78347,-73.97849,Room in boutique hotel,Hotel room,4,1.5,1 private bath,1,1,269.6,1,269.6,1,1125,4/15/2026,0,,,,,,,,,,13,0,1.17
1.09E+18,2.03E+13,4/15/2026,previous scrape,Deluxe Suite at The Lucerne Hotel!,501999278,1.47E+18,RoomPicks,"3,1","3,0",2551,t,Manhattan,40.78347,-73.97849,Room in boutique hotel,Hotel room,2,1.5,1 private bath,1,1,338.4,1,338.4,1,1125,4/15/2026,0,,,,,,,,,,13,0,1.17
